Epoch 1/10
step 2360 | loss 1.9299
step 2380 | loss 4.4873
step 2400 | loss 1.5772
step 2420 | loss 4.3827
step 2440 | loss 1.8753
step 2460 | loss 4.0781
step 2480 | loss 3.1886
step 2500 | loss 5.6452
step 2520 | loss 2.1376
step 2540 | loss 4.6608
train loss:    3.0438
val loss:      3.0331
val si-RMSE:   0.6250

Epoch 4/10
step 0000 | loss 2.1521
step 0020 | loss 1.1471
step 0040 | loss 3.1613
step 0060 | loss 1.6845
step 0080 | loss 3.6969
step 0100 | loss 0.8627
step 0120 | loss 3.2004
step 0140 | loss 2.2521
step 0160 | loss 0.7750
step 0180 | loss 2.6283
step 0200 | loss 2.1533
step 0220 | loss 4.9939
step 0240 | loss 7.8107
step 0260 | loss 1.7214
step 0280 | loss 4.1753
step 0300 | loss 5.6881
step 0320 | loss 3.7723
step 0340 | loss 0.7450
step 0360 | loss 5.2979
step 0380 | loss 1.3820
step 0400 | loss 3.7037
step 0420 | loss 2.0857
step 0440 | loss 4.0048
step 0460 | loss 2.5983
step 0480 | loss 1.3391
step 0500 | loss 3.8464
step 0520 | loss 3.3044
step 0540 | loss 0.9931
step 0560 | loss 3.0872
step 0580 | loss 2.9232
step 0600 | loss 3.7966
step 0620 | loss 1.0596
step 0640 | loss 0.7909
step 0660 | loss 1.9052
step 0680 | loss 0.8241
step 0700 | loss 2.1673
step 0720 | loss 4.3239
step 0740 | loss 1.3067
step 0760 | loss 2.3071
step 0780 | loss 1.6366
step 0800 | loss 1.3538
step 0820 | loss 1.1360
step 0840 | loss 0.9052
step 0860 | loss 4.9712
step 0880 | loss 3.4797
step 0900 | loss 8.1032
step 0920 | loss 1.0457
step 0940 | loss 2.4039
step 0960 | loss 2.1387
step 0980 | loss 3.6961
step 1000 | loss 0.9535
step 1020 | loss 1.9836
step 1040 | loss 2.6262
step 1060 | loss 1.5099
step 1080 | loss 6.2428
step 1100 | loss 1.8875
step 1120 | loss 1.4423
step 1140 | loss 1.6646
step 1160 | loss 2.0697
step 1180 | loss 1.8226
step 1200 | loss 1.5840
step 1220 | loss 5.6990
step 1240 | loss 4.9074
step 1260 | loss 3.8697
step 1280 | loss 0.8088
step 1300 | loss 0.9430
step 1320 | loss 1.6333
step 1340 | loss 1.3576
step 1360 | loss 3.9538
step 1380 | loss 2.7100
step 1400 | loss 3.8914
step 1420 | loss 5.2597
step 1440 | loss 3.9498
step 1460 | loss 2.0337
step 1480 | loss 4.1290
step 1500 | loss 3.8312
step 1520 | loss 1.9959
step 1540 | loss 4.8142
step 1560 | loss 3.5070
step 1580 | loss 1.0044
step 1600 | loss 2.1086
step 1620 | loss 1.7866
step 1640 | loss 3.8728
step 1660 | loss 1.1152
step 1680 | loss 6.4130
step 1700 | loss 4.0071
step 1720 | loss 1.4739
step 1740 | loss 3.9667
step 1760 | loss 0.5820
step 1780 | loss 1.9074
step 1800 | loss 1.8695
step 1820 | loss 5.2330
step 1840 | loss 6.9434
step 1860 | loss 1.3124
step 1880 | loss 1.7967
step 1900 | loss 4.2111
step 1920 | loss 5.9237
step 1940 | loss 0.9316
step 1960 | loss 2.2904
step 1980 | loss 1.4475
step 2000 | loss 5.0168
step 2020 | loss 3.1492
step 2040 | loss 1.8678
step 2060 | loss 1.8764
step 2080 | loss 5.2523
step 2100 | loss 4.8873
step 2120 | loss 8.8787
step 2140 | loss 5.7911
step 2160 | loss 4.4416
step 2180 | loss 4.0558
step 2200 | loss 5.1520
step 2220 | loss 12.7791
step 2240 | loss 4.2465
step 2260 | loss 2.1551
step 2280 | loss 3.6185
step 2300 | loss 7.5102
step 2320 | loss 1.5638
step 2340 | loss 2.1276
step 2360 | loss 1.9843
step 2380 | loss 2.5028
step 2400 | loss 2.1859
step 2420 | loss 10.4234
step 2440 | loss 2.7833
step 2460 | loss 1.9795
step 2480 | loss 3.7152
step 2500 | loss 2.7279
step 2520 | loss 5.0876
step 2540 | loss 5.8190
train loss:    2.9902
val loss:      4.1176
val si-RMSE:   0.7824

Epoch 5/10
step 0000 | loss 5.6574
step 0020 | loss 4.0366
step 0040 | loss 1.7508
step 0060 | loss 1.1623
step 0080 | loss 1.8600
step 0100 | loss 7.5659
step 0120 | loss 4.2281
step 0140 | loss 1.7261
step 0160 | loss 1.3509
step 0180 | loss 4.8155
step 0200 | loss 4.0906
step 0220 | loss 4.8551
step 0240 | loss 1.9310
step 0260 | loss 4.6494
step 0280 | loss 4.9774
step 0300 | loss 0.6946
step 0320 | loss 2.1160
step 0340 | loss 2.9777
step 0360 | loss 3.5211
step 0380 | loss 3.2031
step 0400 | loss 2.6559
step 0420 | loss 1.3823
step 0440 | loss 1.1531
step 0460 | loss 3.2523
step 0480 | loss 2.9515
step 0500 | loss 5.1663
step 0520 | loss 4.9036
step 0540 | loss 3.8205
step 0560 | loss 0.9663
step 0580 | loss 2.0435
step 0600 | loss 0.7868
step 0620 | loss 6.9762
step 0640 | loss 2.8549
step 0660 | loss 2.4343
step 0680 | loss 1.7673
step 0700 | loss 2.2990
step 0720 | loss 1.1760
step 0740 | loss 1.9086
step 0760 | loss 1.9958
step 0780 | loss 6.8758
step 0800 | loss 2.0266
step 0820 | loss 2.9330
step 0840 | loss 1.2038
step 0860 | loss 1.8797
step 0880 | loss 3.3872
step 0900 | loss 1.4634
step 0920 | loss 1.5504
step 0940 | loss 1.8907
step 0960 | loss 1.4850
step 0980 | loss 0.5982
step 1000 | loss 7.1772
step 1020 | loss 2.5101
step 1040 | loss 1.3452
step 1060 | loss 2.4330
step 1080 | loss 1.5629
step 1100 | loss 2.3805
step 1120 | loss 2.9064
step 1140 | loss 1.8595
step 1160 | loss 3.0623
step 1180 | loss 3.1666
step 1200 | loss 1.4281
step 1220 | loss 0.9567
step 1240 | loss 6.1540
step 1260 | loss 4.8028
step 1280 | loss 5.3271
step 1300 | loss 2.6258
step 1320 | loss 6.4610
step 1340 | loss 1.9309
step 1360 | loss 10.4572
step 1380 | loss 3.6179
step 1400 | loss 6.6404
step 1420 | loss 3.4799
step 1440 | loss 10.8799
step 1460 | loss 4.7158
step 1480 | loss 8.3240
step 1500 | loss 5.1115
step 1520 | loss 1.0705
step 1540 | loss 3.1503
step 1560 | loss 2.9699
step 1580 | loss 4.9582
step 1600 | loss 5.0211
step 1620 | loss 2.7063
step 1640 | loss 4.3889
step 1660 | loss 2.8807
step 1680 | loss 3.3582
step 1700 | loss 2.8972
step 1720 | loss 2.6704
step 1740 | loss 1.1132
step 1760 | loss 3.0157
step 1780 | loss 2.1413
step 1800 | loss 2.3369
